Hole,including,IntervalStart,IntervalEnd,Over,Ni,Cu,Co,Pt,Pd,Au,Ag,Ni+Cu,NiEq,AuEq,Zone,Easting,Northing,Elevation,Azimuth,Dip,Length
EL-17-01,,51,111.5,60.5,0.54,0.53,0.02,0.22,0.34,0.2,2.6,1.07,1.09,,Central,396103,6271502,1892,109,-80,441
EL-17-01,x,102,103,1,1.37,2.13,0.03,1.05,1.35,1.09,9.6,3.5,3.6,,Central,396103,6271502,1892,109,-80,441
EL-17-01,,118,123.23,5.23,0.51,0.63,0.02,0.27,0.52,0.28,4,1.14,1.21,,Central,396103,6271502,1892,109,-80,441
EL-17-01,,129,138.68,9.68,0.72,0.62,0.02,0.19,0.29,0.14,3.2,1.34,1.29,,Central,396103,6271502,1892,109,-80,441
EL-17-01,,279.5,284,4.5,0.29,0.8,0.01,0.6,1.26,0.6,6.3,1.1,1.52,,Central,396103,6271502,1892,109,-80,441
EL-17-02,,117,124.5,7.5,0.57,0.52,0.02,0.16,0.28,0.1,3.4,1.08,1.06,,Central,396103,6271502,1892,92,-60,429
EL-17-02,,136.5,142.5,6,0.37,0.74,0.01,0.48,0.6,0.47,4.6,1.12,1.26,,Central,396103,6271502,1892,92,-60,429
EL-17-02,,150,153,3,0.54,0.56,0.02,0.24,0.75,0.25,2.5,1.1,1.29,,Central,396103,6271502,1892,92,-60,429
EL-17-02,,171,195,24,0.56,0.65,0.02,0.28,0.6,0.26,3.3,1.21,1.31,,Central,396103,6271502,1892,92,-60,429
EL-17-02,x,175.5,180,4.5,0.97,1.19,0.03,0.64,1.02,0.64,6.7,2.16,2.37,,Central,396103,6271502,1892,92,-60,429
EL-17-03,,42,81,39,0.91,0.74,0.03,0.27,0.44,0.22,3.2,1.65,1.65,,Northwest,396119,6271498,1887,267,-70,252
EL-17-03,x,49.5,63,13.5,1.05,1,0.03,0.49,0.84,0.38,4.7,2.06,2.16,,Northwest,396119,6271498,1887,267,-70,252
EL-17-03,x,70.5,73.5,3,1,1.09,0.03,0.19,0.28,0.25,5.5,2.09,1.87,,Northwest,396119,6271498,1887,267,-70,252
